,lake.id,year,Bd.Status,Zscore,longitude,latitude
272,10418,2005,0,0,-118.425204647746,NA
273,10418,2005,0,0,-118.425204647746,NA
274,10418,2005,0,0,-118.425204647746,NA
275,10418,2005,0,0,-118.425204647746,NA
276,10418,2005,0,0,-118.425204647746,NA
277,10418,2005,0,0,-118.425204647746,NA
278,10418,2005,0,0,-118.425204647746,NA
279,10418,2005,0,0,-118.425204647746,NA
280,10418,2005,0,0,-118.425204647746,NA
281,10418,2005,0,0,-118.425204647746,NA
282,10418,2005,0,0,-118.425204647746,NA
283,10418,2005,0,0,-118.425204647746,NA
284,10418,2005,0,0,-118.425204647746,NA
285,10418,2005,0,0,-118.425204647746,NA
286,10418,2005,0,0,-118.425204647746,NA
287,10418,2005,0,0,-118.425204647746,NA
288,10418,2005,0,0,-118.425204647746,NA
289,10418,2005,0,0,-118.425204647746,NA
290,10418,2005,0,0,-118.425204647746,NA
291,10418,2005,0,0,-118.425204647746,NA
292,10418,2005,0,0,-118.425204647746,NA
293,10418,2005,0,0,-118.425204647746,NA
294,10418,2005,0,0,-118.425204647746,NA
295,10418,2005,0,0,-118.425204647746,NA
296,10418,2005,0,0,-118.425204647746,NA
297,10418,2005,0,0,-118.425204647746,NA
298,10418,2005,0,0,-118.425204647746,NA
299,10418,2005,0,0,-118.425204647746,NA
300,10418,2005,0,0,-118.425204647746,NA
301,10418,2005,0,0,-118.425204647746,NA
302,10418,2005,0,0,-118.425204647746,NA
303,10418,2005,0,0,-118.425204647746,NA
304,10418,2005,0,0,-118.425204647746,NA
305,10418,2005,0,0,-118.425204647746,NA
306,10418,2005,0,0,-118.425204647746,NA
307,10418,2005,0,0,-118.425204647746,NA
308,10418,2005,0,0,-118.425204647746,NA
309,10418,2005,0,0,-118.425204647746,NA
310,10418,2005,0,0,-118.425204647746,NA
311,10418,2005,0,0,-118.425204647746,NA
312,10418,2005,0,0,-118.425204647746,NA
313,10418,2005,0,0,-118.425204647746,NA
314,10418,2005,0,0,-118.425204647746,NA
315,10418,2005,0,0,-118.425204647746,NA
316,10418,2005,1,0.16,-118.425204647746,NA
317,10418,2005,0,0,-118.425204647746,NA
318,10418,2006,1,4.44,-118.425204647746,NA
319,10418,2006,1,2137.51,-118.425204647746,NA
320,10418,2006,1,2522.01,-118.425204647746,NA
321,10418,2006,1,4677.04,-118.425204647746,NA
322,10418,2006,0,0,-118.425204647746,NA
323,10418,2006,1,100.1,-118.425204647746,NA
324,10418,2006,1,1256.37,-118.425204647746,NA
